Id,Author,mod_title,Genre,Comment
,–,Der Wolf und der Ochsenhirt,Fabel,
367-48,Der Stricker,Der Wolf und die Gänse,Fabel,
367-49,Der Stricker,Der Wolf und sein Sohn,Fabel,
367-138,Der Stricker,Der Wucherer,Maere,
,–,Der wucherische Wechsler und der Fromme,Maere,
367-92,Der Stricker,Der wunderbare Stein,Bispel,
,,Der Wunderer,Maere,
,,Der Würfel,Bispel,
,–,Der Württemberger,Maere,
,–,Der Zahn,Bispel,
,–,Der Zaunkönig,Maere,
,Rudolf von Ems,Der Zweikampf,barlaam,
,,Des Buben Paternoster,Geist.Parodie,
,Der Stricker,Des Gastes Hofzucht,Bispel,
,–,Des Hundes Not,Fabel,
367-76,Der Stricker,Des Königs alte Kleider,Maere,
,,Des Labers Lehren,Minnerede,
,,Des Labers Rat,Minnerede,
,,Des Liebhabers Verabschiebung,Minnerede,
,,Des Mädchens Klage,Minnerede,
,–,Des Minners Klage,Minnerede,
,Der Zwickauer,Des Mönches Not,Maere,
367-95,Der Stricker,Des Muses Lehre,Maere,
,–,Des Teufels Ächtung,Maere,
,,Des Vögleins Lehren,Fabel,
,,Deutsche Chronik,,
,,Die 15 Zeichen des Jüngsten Tags,Religious,
,,Die acht Farben,Bispel,
,Der Stricker,Die Äffin und die Nuss,Fabel,
367-100,Der Stricker,Die Äffin und ihre Kinder,Fabel,
,Volrat,Die alte Mutter,Maere,
,,Die alte und die neue Minne,Minnerede,
,,Die Bärenjagd,Minnerede,
,–,Die Bauernhochzeit,Minnerede,
,Hans Rosenplüt,Die Beichte,Maere,
,,Die Beichte der zwölf Frauen,Maere,
,,Die Beichte einer Frau,Maere,
,,Die beiden Freier,Maere,
,Der Stricker,Die beiden Knappen,Maere,
367-137,Der Stricker,Die beiden Königinnen,Maere,
,,Die beiden Schwestern,Maere,
367-63,Der Stricker,Die beiden Zimmerleute,Maere,
,,Die Beständige und die Wankelmütige,Maere,
,–,Die Bettlerin,Maere,
,,Die blaue Rede,Minnerede,
,–,Die Blume und der Reif,Maere,
,,Die böse Frau,Maere,
